거래일,매도(거래량),매수(거래량),합계
2025,"1,111,550","1,183,600","2,295,150"
2024,"877,700","888,900","1,766,600"
2023,"755,950","773,450","1,529,400"
2022,"675,952","714,148","1,390,100"
2021,"517,150","546,350","1,063,500"
2020,"464,450","453,800","918,250"
2019,"449,260","451,750","901,010"
2018,"260,360","281,470","541,830"
2017,"290,530","293,410","583,940"
2016,"305,533","303,633","609,166"
2015,"301,319","303,209","604,528"
2014,"279,619","290,119","569,738"
2013,"343,453","351,601","695,054"
2012,"133,674","135,462","269,136"
2011,"268,515","268,325","536,840"
2010,"372,097","378,749","750,846"
2009,"569,120","780,183","1,349,303"
2008,,"2,242,737","2,242,737"
2007,,"1,968,974","1,968,974"
2006,,"1,991,343","1,991,343"
2005,,"1,517,425","1,517,425"
2004,,"1,796,848","1,796,848"
2003,,"989,345","989,345"
