,N,평균,표준편차,최소,25%,중앙값,75%,최대
전체,2679,3.29578200821202,8.59345632078424,-30.600000000000005,-0.49999999999998934,3.0999999999999917,7.600000000000001,105.2
CP,466,12.566738197424892,18.84769712649725,-27.0,4.999999999999982,10.000000000000009,15.225000000000001,105.0
국채,2679,2.5132138857782755,8.463676997341421,-30.799999999999983,-0.8999999999999897,2.400000000000002,6.800000000000006,99.50000000000001
금융채,2679,8.749869354236656,11.830853220359296,-29.800000000000004,4.549999999999987,8.200000000000006,12.9,234.90000000000003
은행채,2679,3.8550578574094803,8.25366528591942,-28.500000000000014,0.0,3.499999999999992,8.05,96.8
주식.ETF,1492,-3.207774798927617,12.071960900427191,-43.000000000000014,-10.000000000000009,-7.899999999999996,2.0000000000000018,160.0
지방채,2674,3.5535901271503363,9.608532779923168,-34.5,-0.40000000000000036,3.499999999999992,8.274999999999999,113.89999999999998
통안채,2679,0.3986562150055991,10.19526342238492,-46.09999999999999,-2.7000000000000024,0.8999999999999897,5.499999999999994,123.4
특수채,2679,3.5126166480029855,8.534505667540579,-26.8,-0.20000000000000018,3.200000000000003,7.899999999999996,115.3
회사채,2679,16.295483389324374,14.953436008154338,-21.300000000000008,7.899999999999996,12.800000000000011,21.650000000000006,200.2
