year,전체,CP,국채,금융채,은행채,주식.ETF,지방채,통안채,특수채,회사채
2015,0.73,,0.32,8.91,0.91,43.2,0.45,-0.73,0.94,9.38
2016,0.82,,1.25,6.23,1.14,50.5,1.6,-0.35,0.53,5.06
2017,3.26,,3.24,8.47,3.65,-6.22,5.53,2.33,3.54,7.49
2018,6.93,13.9,6.5,11.97,7.76,-9.95,7.1,5.46,7.78,11.72
2019,7.72,10.69,7.08,12.76,8.73,-7.44,7.94,5.61,8.21,13.74
2020,1.96,60.11,0.25,8.5,3.53,-8.32,2.49,-2.75,2.17,28.17
2021,3.53,13.16,1.57,8.16,5.26,13.74,2.28,-0.28,3.43,28.69
2022,1.09,11.83,-1.07,8.32,2.5,-5.81,0.47,-4.82,1.64,33.32
2023,2.8,-10.0,2.5,6.83,2.37,-0.78,3.33,-1.11,3.42,15.42
2024,3.18,4.15,2.69,7.03,2.66,1.15,3.94,-0.01,2.94,11.98
2025,4.25,,3.28,9.03,3.92,3.26,3.92,0.89,4.05,14.93
